市区町村,サンプル値A,サンプル値B
中央区,107,123
北区,114,139
東区,121,156
白石区,128,173
豊平区,135,191
南区,142,193
西区,149,212
厚別区,156,202
手稲区,163,219
清田区,170,237
函館市,177,241
小樽市,184,260
旭川市,191,280
室蘭市,198,299
釧路市,205,280
帯広市,212,284
北見市,219,304
夕張市,226,324
岩見沢市,233,345
網走市,240,366
留萌市,247,372
苫小牧市,254,343
稚内市,261,364
美唄市,268,385
芦別市,275,407
江別市,282,414
赤平市,289,437
紋別市,296,460
士別市,303,422
名寄市,310,444
三笠市,317,452
根室市,324,475
千歳市,331,499
滝川市,338,523
砂川市,345,547
歌志内市,352,485
深川市,359,509
富良野市,366,533
登別市,373,558
恵庭市,380,583
伊達市,387,594
北広島市,394,620
石狩市,401,563
北斗市,408,589
石狩郡当別町,415,615
石狩郡新篠津村,422,626
松前郡松前町,429,653
松前郡福島町,436,680
上磯郡知内町,443,708
上磯郡木古内町,450,642
亀田郡七飯町,457,654
茅部郡鹿部町,464,681
茅部郡森町,471,709
二海郡八雲町,478,737
山越郡長万部町,485,766
檜山郡江差町,492,780
檜山郡上ノ国町,499,705
檜山郡厚沢部町,506,734
爾志郡乙部町,513,763
奥尻郡奥尻町,520,792
瀬棚郡今金町,527,807
久遠郡せたな町,534,837
島牧郡島牧村,541,868
寿都郡寿都町,548,784
寿都郡黒松内町,555,814
磯谷郡蘭越町,562,829
虻田郡ニセコ町,569,860
虻田郡真狩村,576,891
虻田郡留寿都村,583,923
虻田郡喜茂別町,590,955
虻田郡京極町,597,847
虻田郡倶知安町,604,879
岩内郡共和町,611,911
岩内郡岩内町,618,943
古宇郡泊村,625,976
古宇郡神恵内村,632,994
積丹郡積丹町,639,1028
古平郡古平町,646,925
余市郡仁木町,653,958
余市郡余市町,660,992
余市郡赤井川村,667,1011
空知郡南幌町,674,1045
空知郡奈井江町,681,1080
空知郡上砂川町,688,1116
夕張郡由仁町,695,1004
夕張郡長沼町,702,1023
夕張郡栗山町,709,1058
樺戸郡月形町,716,1094
樺戸郡浦臼町,723,1130
樺戸郡新十津川町,730,1166
雨竜郡妹背牛町,737,1188
雨竜郡秩父別町,744,1067
雨竜郡雨竜町,751,1103
雨竜郡北竜町,758,1140
雨竜郡沼田町,765,1177
上川郡鷹栖町,772,1200
上川郡東神楽町,779,1237
上川郡当麻町,786,1276
上川郡比布町,793,1145
上川郡愛別町,800,1183
上川郡上川町,807,1206
上川郡東川町,814,1245
上川郡美瑛町,821,1284
空知郡上富良野町,828,1324
空知郡中富良野町,835,1364
空知郡南富良野町,842,1209
勇払郡占冠村,849,1248
上川郡和寒町,856,1288
上川郡剣淵町,863,1328
上川郡下川町,870,1369
中川郡美深町,877,1395
中川郡音威子府村,884,1436
中川郡中川町,891,1287
雨竜郡幌加内町,898,1328
増毛郡増毛町,905,1369
留萌郡小平町,912,1396
苫前郡苫前町,919,1438
苫前郡羽幌町,926,1481
苫前郡初山別村,933,1524
天塩郡遠別町,940,1366
天塩郡天塩町,947,1393
宗谷郡猿払村,954,1436
枝幸郡浜頓別町,961,1479
枝幸郡中頓別町,968,1523
枝幸郡枝幸町,975,1567
天塩郡豊富町,982,1596
礼文郡礼文町,989,1429
利尻郡利尻町,996,1473
利尻郡利尻富士町,1003,1517
天塩郡幌延町,1010,1562
網走郡美幌町,1017,1592
網走郡津別町,1024,1638
斜里郡斜里町,1031,1684
斜里郡清里町,1038,1507
斜里郡小清水町,1045,1553
常呂郡訓子府町,1052,1584
常呂郡置戸町,1059,1630
常呂郡佐呂間町,1066,1677
紋別郡遠軽町,1073,1724
紋別郡湧別町,1080,1772
紋別郡滝上町,1087,1571
紋別郡興部町,1094,1618
紋別郡西興部村,1101,1665
紋別郡雄武町,1108,1713
網走郡大空町,1115,1761
虻田郡豊浦町,1122,1795
有珠郡壮瞥町,1129,1844
白老郡白老町,1136,1649
勇払郡厚真町,1143,1698
虻田郡洞爺湖町,1150,1747
勇払郡安平町,1157,1781
勇払郡むかわ町,1164,1831
沙流郡日高町,1171,1881
沙流郡平取町,1178,1932
新冠郡新冠町,1185,1728
浦河郡浦河町,1192,1763
様似郡様似町,1199,1813
幌泉郡えりも町,1206,1864
日高郡新ひだか町,1213,1915
河東郡音更町,1220,1967
河東郡士幌町,1227,2004
河東郡上士幌町,1234,1791
河東郡鹿追町,1241,1842
上川郡新得町,1248,1895
上川郡清水町,1255,1947
河西郡芽室町,1262,1985
河西郡中札内村,1269,2038
河西郡更別村,1276,2092
広尾郡大樹町,1283,1869
広尾郡広尾町,1290,1922
中川郡幕別町,1297,1961
中川郡池田町,1304,2015
中川郡豊頃町,1311,2069
中川郡本別町,1318,2124
足寄郡足寄町,1325,2180
足寄郡陸別町,1332,1933
十勝郡浦幌町,1339,1987
釧路郡釧路町,1346,2042
厚岸郡厚岸町,1353,2098
厚岸郡浜中町,1360,2154
川上郡標茶町,1367,2195
川上郡弟子屈町,1374,2252
阿寒郡鶴居村,1381,2011
白糠郡白糠町,1388,2067
野付郡別海町,1395,2124
標津郡中標津町,1402,2166
標津郡標津町,1409,2224
目梨郡羅臼町,1416,2282
色丹郡色丹村,1423,2340
国後郡泊村,1430,2089
国後郡留夜別村,1437,2132
択捉郡留別村,1444,2190
紗那郡紗那村,1451,2249
蘂取郡蘂取村,1458,2308
